time	V(Reset,R-PI_GND)	V(pulse)	V(reset)	V(vl)
1.430663966441768e-002	3.299778e+000	0.000000e+000	-3.561962e+001	0.000000e+000
1.572772231390575e-002	3.299536e+000	0.000000e+000	-3.451836e+001	0.000000e+000
1.714880496339382e-002	3.300097e+000	0.000000e+000	-3.345082e+001	0.000000e+000
1.856988761288189e-002	3.301461e+000	0.000000e+000	-3.241700e+001	0.000000e+000
1.999097026236996e-002	3.303627e+000	0.000000e+000	-3.141689e+001	0.000000e+000
1.999478495963558e-002	3.342945e+000	0.000000e+000	-3.137493e+001	3.933120e-002
2.000241435416683e-002	3.354530e+000	0.000000e+000	-3.112209e+001	2.869608e-001
2.000432170279964e-002	3.303530e+000	0.000000e+000	-3.098535e+001	4.224178e-001
2.005064302673938e-002	3.302523e+000	0.000000e+000	-2.642726e+001	4.952208e+000
2.009696435067911e-002	3.301517e+000	0.000000e+000	-2.187725e+001	9.478554e+000
2.014328567461884e-002	3.300512e+000	0.000000e+000	-1.733531e+001	1.400146e+001
2.018960699855857e-002	3.299508e+000	0.000000e+000	-1.280145e+001	1.852091e+001
2.023592832249830e-002	3.298504e+000	0.000000e+000	-8.275671e+000	2.303693e+001
2.028224964643804e-002	3.297501e+000	0.000000e+000	-3.757965e+000	2.754950e+001
2.032857097037777e-002	3.296499e+000	0.000000e+000	7.516642e-001	3.205863e+001
2.034573710807308e-002	3.296141e+000	0.000000e+000	2.419292e+000	3.372723e+001
2.036290324576839e-002	3.295780e+000	0.000000e+000	4.085185e+000	3.539472e+001
2.038006938346371e-002	3.295415e+000	0.000000e+000	5.749343e+000	3.706111e+001
2.039723552115902e-002	3.295048e+000	0.000000e+000	7.411766e+000	3.872640e+001
2.041440165885433e-002	3.294677e+000	0.000000e+000	9.072454e+000	4.039058e+001
2.043156779654964e-002	3.294303e+000	0.000000e+000	1.073141e+001	4.205365e+001
2.044873393424496e-002	3.293926e+000	0.000000e+000	1.238863e+001	4.371563e+001
2.058224833854183e-002	3.291099e+000	0.000000e+000	2.526273e+001	5.664934e+001
2.071576274283871e-002	3.288307e+000	0.000000e+000	3.794553e+001	6.942801e+001
2.084927714713558e-002	3.285552e+000	0.000000e+000	5.043704e+001	8.205163e+001
2.098279155143246e-002	3.282832e+000	0.000000e+000	6.273725e+001	9.452020e+001
2.111630595572933e-002	3.280148e+000	0.000000e+000	7.484616e+001	1.068337e+002
2.124982036002621e-002	3.277500e+000	0.000000e+000	8.676378e+001	1.189922e+002
2.138333476432308e-002	3.274887e+000	0.000000e+000	9.849010e+001	1.309956e+002
2.151221703622598e-002	3.272461e+000	0.000000e+000	1.095494e+002	1.423553e+002
2.164109930812888e-002	3.270099e+000	0.000000e+000	1.203024e+002	1.534375e+002
2.176998158003179e-002	3.267802e+000	0.000000e+000	1.307492e+002	1.642423e+002
2.189886385193469e-002	3.265570e+000	0.000000e+000	1.408898e+002	1.747697e+002
2.202774612383759e-002	3.263403e+000	0.000000e+000	1.507242e+002	1.850197e+002
2.215662839574049e-002	3.261300e+000	0.000000e+000	1.602523e+002	1.949923e+002
2.228551066764339e-002	3.259262e+000	0.000000e+000	1.694742e+002	2.046874e+002
2.228741801627621e-002	3.259277e+000	0.000000e+000	1.696075e+002	2.048278e+002
2.265553630240902e-002	3.279222e+000	0.000000e+000	1.942372e+002	2.310057e+002
2.302365458854183e-002	3.280689e+000	0.000000e+000	2.150668e+002	2.534951e+002
2.339177287467464e-002	3.263679e+000	0.000000e+000	2.320961e+002	2.722961e+002
2.375989116080746e-002	3.228192e+000	0.000000e+000	2.453252e+002	2.874086e+002
2.412800944694027e-002	3.174227e+000	0.000000e+000	2.547541e+002	2.988327e+002
2.449612773307308e-002	3.101784e+000	0.000000e+000	2.603828e+002	3.065683e+002
2.486424601920589e-002	3.010864e+000	0.000000e+000	2.622113e+002	3.106154e+002
2.516942180045589e-002	3.182526e+000	0.000000e+000	2.604643e+002	3.106293e+002
2.550920233547263e-002	3.206218e+000	0.000000e+000	2.545615e+002	3.067263e+002
2.584898287048938e-002	3.225821e+000	0.000000e+000	2.456025e+002	2.996498e+002
2.618876340550612e-002	3.241335e+000	0.000000e+000	2.335874e+002	2.893999e+002
2.652854394052286e-002	3.252760e+000	0.000000e+000	2.185162e+002	2.759765e+002
2.686832447553960e-002	3.260095e+000	0.000000e+000	2.003888e+002	2.593797e+002
2.720810501055634e-002	3.263341e+000	0.000000e+000	1.792052e+002	2.396094e+002
2.754788554557308e-002	3.262497e+000	0.000000e+000	1.549655e+002	2.166656e+002
2.773535066834094e-002	3.265636e+000	0.000000e+000	1.407015e+002	2.030158e+002
2.792281579110880e-002	3.268889e+000	0.000000e+000	1.259283e+002	1.887914e+002
2.811028091387665e-002	3.272254e+000	0.000000e+000	1.106460e+002	1.739921e+002
2.829774603664451e-002	3.275733e+000	0.000000e+000	9.485461e+001	1.586181e+002
2.848521115941237e-002	3.279324e+000	0.000000e+000	7.855408e+001	1.426694e+002
2.867267628218023e-002	3.283029e+000	0.000000e+000	6.174443e+001	1.261459e+002
2.886014140494808e-002	3.286846e+000	0.000000e+000	4.442566e+001	1.090477e+002
2.892253895307866e-002	3.288137e+000	0.000000e+000	3.863144e+001	1.033094e+002
2.898493650120924e-002	3.289431e+000	0.000000e+000	3.281121e+001	9.753708e+001
2.904733404933982e-002	3.290729e+000	0.000000e+000	2.696495e+001	9.173061e+001
2.910973159747040e-002	3.292032e+000	0.000000e+000	2.109267e+001	8.589003e+001
2.917212914560098e-002	3.293338e+000	0.000000e+000	1.519436e+001	8.001533e+001
2.923452669373156e-002	3.294648e+000	0.000000e+000	9.270035e+000	7.410653e+001
2.929692424186214e-002	3.295962e+000	0.000000e+000	3.319687e+000	6.816360e+001
2.932798677673938e-002	3.296614e+000	0.000000e+000	3.527770e-001	6.519729e+001
2.935904931161661e-002	3.297267e+000	0.000000e+000	-2.617590e+000	6.222548e+001
2.939011184649384e-002	3.297921e+000	0.000000e+000	-5.591416e+000	5.924817e+001
2.942117438137107e-002	3.298576e+000	0.000000e+000	-8.568699e+000	5.626537e+001
2.945223691624830e-002	3.299232e+000	0.000000e+000	-1.154944e+001	5.327706e+001
2.948329945112554e-002	3.299889e+000	0.000000e+000	-1.453364e+001	5.028325e+001
