time	V(Reset,R-PI_GND)	V(pulse)	V(reset)	V(vl)
5.063060425854284e-003	3.312392e+000	3.300000e+000	-1.074992e-002	3.109731e+002
5.118037920063769e-003	3.317022e+000	3.300000e+000	-2.748806e-002	3.108667e+002
5.227992908482738e-003	3.365914e+000	3.300000e+000	-6.416794e-002	3.103061e+002
5.255481655587480e-003	3.366055e+000	3.300000e+000	-7.263738e-002	3.101138e+002
5.310459149796965e-003	3.386395e+000	3.300000e+000	-8.875525e-002	3.096425e+002
5.324203523349336e-003	3.388729e+000	3.300000e+000	-9.295093e-002	3.095117e+002
5.351692270454078e-003	3.398313e+000	3.300000e+000	-1.013646e-001	3.092184e+002
5.406669764663563e-003	3.415417e+000	3.300000e+000	-1.181164e-001	3.085855e+002
5.420414138215934e-003	3.417974e+000	3.300000e+000	-1.222059e-001	3.084144e+002
5.447902885320676e-003	3.427621e+000	3.300000e+000	-1.306570e-001	3.080404e+002
5.502880379530161e-003	3.444660e+000	3.300000e+000	-1.473877e-001	3.072466e+002
5.516624753082532e-003	3.447201e+000	3.300000e+000	-1.514618e-001	3.070352e+002
5.544113500187274e-003	3.456805e+000	3.300000e+000	-1.598735e-001	3.065811e+002
5.599090994396759e-003	3.473761e+000	3.300000e+000	-1.765240e-001	3.056270e+002
5.612835367949130e-003	3.476289e+000	3.300000e+000	-1.805773e-001	3.053757e+002
5.654068488606243e-003	3.489186e+000	3.300000e+000	-1.931256e-001	3.045793e+002
5.695301609263357e-003	3.501940e+000	3.300000e+000	-2.056104e-001	3.037319e+002
5.736534729920470e-003	3.514550e+000	3.300000e+000	-2.180319e-001	3.028335e+002
5.777767850577584e-003	3.527016e+000	3.300000e+000	-2.303899e-001	3.018842e+002
5.819000971234696e-003	3.539339e+000	3.300000e+000	-2.426845e-001	3.008839e+002
5.860234091891810e-003	3.551518e+000	3.300000e+000	-2.549158e-001	2.998327e+002
5.901467212548923e-003	3.563553e+000	3.300000e+000	-2.670836e-001	2.987305e+002
5.947609038046169e-003	3.577178e+000	3.300000e+000	-2.806982e-001	2.974385e+002
5.993750863543416e-003	3.590709e+000	3.300000e+000	-2.942453e-001	2.960847e+002
6.039892689040661e-003	3.604147e+000	3.300000e+000	-3.077247e-001	2.946692e+002
6.086034514537908e-003	3.617492e+000	3.300000e+000	-3.211367e-001	2.931919e+002
6.132176340035153e-003	3.630743e+000	3.300000e+000	-3.344810e-001	2.916528e+002
6.178318165532400e-003	3.643902e+000	3.300000e+000	-3.477578e-001	2.900519e+002
6.224459991029645e-003	3.656967e+000	3.300000e+000	-3.609671e-001	2.883893e+002
6.247530903778269e-003	3.663655e+000	3.300000e+000	-3.675777e-001	2.875354e+002
6.270601816526891e-003	3.670274e+000	3.300000e+000	-3.741626e-001	2.866666e+002
6.293672729275514e-003	3.676825e+000	3.300000e+000	-3.807218e-001	2.857828e+002
6.316743642024138e-003	3.683306e+000	3.300000e+000	-3.872551e-001	2.848840e+002
6.339814554772761e-003	3.689718e+000	3.300000e+000	-3.937627e-001	2.839702e+002
6.362885467521383e-003	3.696060e+000	3.300000e+000	-4.002446e-001	2.830414e+002
6.385956380270006e-003	3.702334e+000	3.300000e+000	-4.067007e-001	2.820977e+002
6.400682494790404e-003	3.706384e+000	3.300000e+000	-4.108184e-001	2.814875e+002
6.415408609310802e-003	3.710398e+000	3.300000e+000	-4.149281e-001	2.808713e+002
6.430134723831200e-003	3.714377e+000	3.300000e+000	-4.190298e-001	2.802490e+002
6.444860838351597e-003	3.718320e+000	3.300000e+000	-4.231236e-001	2.796208e+002
6.459586952871995e-003	3.722228e+000	3.300000e+000	-4.272093e-001	2.789867e+002
6.474313067392392e-003	3.726100e+000	3.300000e+000	-4.312871e-001	2.783465e+002
6.489039181912790e-003	3.729937e+000	3.300000e+000	-4.353569e-001	2.777003e+002
6.513091835629439e-003	3.736120e+000	3.300000e+000	-4.419934e-001	2.766322e+002
6.530272302569903e-003	3.740401e+000	3.300000e+000	-4.467243e-001	2.758602e+002
6.554324956286553e-003	3.746356e+000	3.300000e+000	-4.533302e-001	2.747651e+002
6.578377610003202e-003	3.752152e+000	3.300000e+000	-4.599186e-001	2.736544e+002
6.602430263719852e-003	3.757767e+000	3.300000e+000	-4.664892e-001	2.725280e+002
6.626482917436501e-003	3.763181e+000	3.300000e+000	-4.730416e-001	2.713860e+002
6.650535571153151e-003	3.768375e+000	3.300000e+000	-4.795746e-001	2.702286e+002
6.674588224869800e-003	3.773332e+000	3.300000e+000	-4.860865e-001	2.690558e+002
6.698640878586450e-003	3.778042e+000	3.300000e+000	-4.925752e-001	2.678675e+002
6.722693532303099e-003	3.782497e+000	3.300000e+000	-4.990383e-001	2.666640e+002
6.747727926987775e-003	3.786855e+000	3.300000e+000	-5.057413e-001	2.653949e+002
6.772762321672452e-003	3.790964e+000	3.300000e+000	-5.124062e-001	2.641096e+002
6.797796716357127e-003	3.794823e+000	3.300000e+000	-5.190329e-001	2.628081e+002
6.822831111041803e-003	3.798432e+000	3.300000e+000	-5.256216e-001	2.614904e+002
6.847865505726480e-003	3.801793e+000	3.300000e+000	-5.321721e-001	2.601565e+002
6.872899900411155e-003	3.804903e+000	3.300000e+000	-5.386845e-001	2.588063e+002
6.897934295095831e-003	3.807765e+000	3.300000e+000	-5.451588e-001	2.574399e+002
6.935731322364852e-003	3.811697e+000	3.300000e+000	-5.548589e-001	2.553466e+002
6.973528349633873e-003	3.815354e+000	3.300000e+000	-5.644663e-001	2.532180e+002
7.011325376902893e-003	3.818735e+000	3.300000e+000	-5.739810e-001	2.510542e+002
7.049122404171914e-003	3.821840e+000	3.300000e+000	-5.834030e-001	2.488550e+002
7.086919431440934e-003	3.824670e+000	3.300000e+000	-5.927324e-001	2.466205e+002
7.124716458709955e-003	3.827224e+000	3.300000e+000	-6.019691e-001	2.443508e+002
7.162513485978976e-003	3.829502e+000	3.300000e+000	-6.111131e-001	2.420458e+002
7.330882061995522e-003	3.838169e+000	3.300000e+000	-6.507329e-001	2.313721e+002
7.436419216058374e-003	3.842205e+000	3.300000e+000	-6.746807e-001	2.243261e+002
7.541956370121226e-003	3.845866e+000	3.300000e+000	-6.978141e-001	2.170550e+002
7.647493524184077e-003	3.849150e+000	3.300000e+000	-7.201330e-001	2.095590e+002
7.753030678246929e-003	3.852058e+000	3.300000e+000	-7.416376e-001	2.018381e+002
7.858567832309781e-003	3.854589e+000	3.300000e+000	-7.623278e-001	1.938921e+002
7.964104986372633e-003	3.856744e+000	3.300000e+000	-7.822036e-001	1.857212e+002
8.069642140435485e-003	3.858523e+000	3.300000e+000	-8.012649e-001	1.773254e+002
8.268199251218853e-003	3.861444e+000	3.300000e+000	-8.348666e-001	1.608718e+002
8.466756362002222e-003	3.863989e+000	3.300000e+000	-8.649650e-001	1.439622e+002
8.665313472785591e-003	3.866157e+000	3.300000e+000	-8.915600e-001	1.265965e+002
8.863870583568960e-003	3.867950e+000	3.300000e+000	-9.146517e-001	1.087747e+002
9.062427694352329e-003	3.869366e+000	3.300000e+000	-9.342401e-001	9.049677e+001
9.260984805135698e-003	3.870406e+000	3.300000e+000	-9.503252e-001	7.176280e+001
9.459541915919066e-003	3.871070e+000	3.300000e+000	-9.629070e-001	5.257276e+001
9.535381405699117e-003	3.871300e+000	3.300000e+000	-9.666495e-001	4.524185e+001
9.611220895479167e-003	3.871496e+000	3.300000e+000	-9.698397e-001	3.789570e+001
9.687060385259218e-003	3.871658e+000	3.300000e+000	-9.724777e-001	3.053433e+001
9.762899875039269e-003	3.871786e+000	3.300000e+000	-9.745633e-001	2.315773e+001
9.838739364819320e-003	3.871880e+000	3.300000e+000	-9.760967e-001	1.576590e+001
9.914578854599369e-003	3.871939e+000	3.300000e+000	-9.770778e-001	8.358835e+000
9.990418344379420e-003	3.871964e+000	3.300000e+000	-9.775066e-001	9.365423e-001
9.993854437767513e-003	3.880396e+000	3.300000e+000	-9.690818e-001	6.125247e-001
1.000072662454370e-002	3.959738e+000	3.300000e+000	-8.361059e-001	1.673307e-001
1.000937184218934e-002	3.664725e+000	3.300000e+000	-5.346347e-001	0.000000e+000
1.001871843877512e-002	3.560639e+000	3.300000e+000	-2.960759e-001	0.000000e+000
1.002752687463576e-002	3.464119e+000	3.300000e+000	-1.903926e-001	0.000000e+000
1.003914938884731e-002	3.381963e+000	3.300000e+000	-1.113758e-001	0.000000e+000
1.005818674501098e-002	3.320872e+000	3.300000e+000	-4.561266e-002	0.000000e+000
1.007853651274740e-002	3.303149e+000	3.300000e+000	-1.626200e-002	0.000000e+000
1.010705408643561e-002	3.296389e+000	3.300000e+000	-4.114522e-003	0.000000e+000
1.014222516854423e-002	3.296285e+000	3.300000e+000	-6.612318e-004	0.000000e+000
